Model,Mean_AUC_ratio,pval_pROC,Omission_rate_at_5%,AICc,delta_AICc,W_AICc,num_parameters
M_0.4_F_qh_Set_1,1.835208311,0,0.047619048,NA,NA,NA,131
M_0.4_F_qh_Set_2,1.740987866,0,0.19047619,3176.70383,496.7203399,1.51E-111,89
M_0.4_F_qh_Set_3,1.782307167,0,0.227272727,3184.369943,504.3864528,3.27E-113,84
M_0.4_F_pt_Set_1,1.867044268,0,1,NA,NA,NA,193
M_0.4_F_pt_Set_2,1.847226592,0,0.476190476,NA,NA,NA,145
M_0.4_F_pt_Set_3,1.844549865,0,0.363636364,NA,NA,NA,131
M_0.4_F_ph_Set_1,1.835235038,0,0.047619048,NA,NA,NA,145
M_0.4_F_ph_Set_2,1.749435731,0,0.19047619,3720.585959,1040.60247,1.20E-229,105
M_0.4_F_ph_Set_3,1.789119213,0,0.181818182,3624.647005,944.6635149,8.15E-209,101
M_0.4_F_th_Set_1,1.858994075,0,0.857142857,NA,NA,NA,190
M_0.4_F_th_Set_2,1.87197518,0,0.476190476,NA,NA,NA,145
M_0.4_F_th_Set_3,1.846768654,0,0.363636364,NA,NA,NA,143
M_0.4_F_lqp_Set_1,1.772195586,0,0.095238095,3216.109336,536.1258461,4.21E-120,89
M_0.4_F_lqp_Set_2,1.764349815,0,0.142857143,2779.329024,99.34553379,2.95E-25,49
M_0.4_F_lqp_Set_3,1.723129079,0,0.090909091,2837.217945,157.2344552,7.95E-38,43
M_0.4_F_lqt_Set_1,1.86754867,0,0.904761905,NA,NA,NA,197
M_0.4_F_lqt_Set_2,1.839897329,0,0.428571429,NA,NA,NA,148
M_0.4_F_lqt_Set_3,1.843086378,0,0.409090909,NA,NA,NA,132
M_0.4_F_lqh_Set_1,1.83295459,0,0.047619048,10682.34082,8002.357333,0,125
M_0.4_F_lqh_Set_2,1.759424891,0,0.238095238,3219.803916,539.8204266,6.67E-121,91
M_0.4_F_lqh_Set_3,1.779213168,0,0.227272727,3110.298521,430.3150315,4.01E-97,79
M_0.4_F_lpt_Set_1,1.863442562,0,0.904761905,NA,NA,NA,193
M_0.4_F_lpt_Set_2,1.872514161,0,0.428571429,NA,NA,NA,144
M_0.4_F_lpt_Set_3,1.833624227,0,0.409090909,NA,NA,NA,131
M_0.4_F_lph_Set_1,1.836176895,0,0.047619048,NA,NA,NA,135
M_0.4_F_lph_Set_2,1.750963154,0,0.19047619,3567.308661,887.3251712,2.32E-196,102
M_0.4_F_lph_Set_3,1.75555036,0,0.181818182,3356.862003,676.8785133,1.16E-150,93
M_0.4_F_lth_Set_1,1.857645851,0,0.857142857,NA,NA,NA,184
M_0.4_F_lth_Set_2,1.872335046,0,0.523809524,NA,NA,NA,144
M_0.4_F_lth_Set_3,1.843913718,0,0.363636364,NA,NA,NA,143
M_0.4_F_qpt_Set_1,1.865979205,0,0.904761905,NA,NA,NA,192
M_0.4_F_qpt_Set_2,1.843448166,0,0.428571429,NA,NA,NA,146
M_0.4_F_qpt_Set_3,1.824164965,0,0.454545455,NA,NA,NA,135
M_0.4_F_qph_Set_1,1.837260938,0,0.047619048,NA,NA,NA,135
